subject,body,category
Animation glitch,There is a visual glitch in the animation on the homepage,Technical
Audio not working,Audio is not playing in the in-app video player,Technical
Table formatting,Table formatting is broken when I copy content from the app,Technical
Token expired,I keep getting a token expired error after a few minutes,Technical
Microphone access,The app is not requesting microphone access correctly,Technical
Biometric login,Biometric login stopped working after the latest app update,Technical
Batch upload error,Batch file uploads are failing after a certain number of files,Technical
Meeting room booking,How do I book a meeting room in the office,HR
Parking allocation,I need a parking slot at the office,HR
Office timing change,My official work hours have been changed without notice,HR
Resignation letter format,Can you provide a resignation letter template,HR
Salary slip correction,My salary slip has an error and I need it corrected,HR
Company loan,Does the company offer salary advance or personal loans,HR
Provident fund check,How do I check my provident fund balance,HR
EPFO account link,How do I link my EPFO account to the company,HR
Nominee update,I want to update my nominee details for insurance,HR
Job offer letter,I have not received my formal offer letter yet,HR
Salary account change,I want to change the bank account for my salary,HR
Increment letter,I have not received my increment letter,HR
Superannuation,What superannuation benefits does the company provide,HR
Group insurance,I want details of my group life insurance coverage,HR
NDA query,I have a question about the non-disclosure agreement I signed,HR
New employee training,When does the training for new joiners begin,HR
Outstation work,I will be working from another city and need HR approval,HR
Weekend work compensation,I worked on a weekend and want to know about compensation,HR
Holiday work,I worked on a public holiday and need compensation details,HR
Flexi points,How do I use my flexible benefit points,HR
Skills assessment,Where do I find the skills assessment form,HR
Certification support,Will the company support me in getting a professional certification,HR
Company policy change,A company policy has changed and I need clarification,HR
Offboarding process,What is the offboarding checklist for resigned employees,HR
Return to office,When is the return to office policy effective,HR
Workplace safety,I want to report a workplace safety hazard,HR
Employee grievance form,Where do I get the employee grievance submission form,HR
Code of conduct,I need a copy of the company code of conduct,HR
Ethical reporting,How do I report unethical behavior at work,HR
Org chart,Where can I find the company organizational chart,HR
Reporting manager change,My reporting manager has changed and HR has not updated it,HR
Work from abroad,Can I work from a different country temporarily,HR
Language training,Does the company offer language or communication training,HR
Leadership program,Is there a leadership development program I can apply for,HR
Job posting internal,How do I post an internal job opening in my department,HR
Rehire policy,Can a former employee be rehired at the company,HR
Probation extension,My probation period has been extended and I need reasons,HR
Retirement age,What is the official retirement age at this company,HR
Early retirement,Can I apply for voluntary early retirement,HR
Medical test,Is a pre-employment medical test required for my role,HR
Social media policy,What is the company social media usage policy,HR
IT asset request,How do I request an IT asset like a laptop or monitor,HR
Mobile reimbursement,Am I eligible for a mobile phone reimbursement,HR
Internet allowance,Is there a work from home internet allowance,HR
Educational allowance,Does the company provide an educational allowance for children,HR
Fuel allowance,Is there a fuel reimbursement or allowance policy,HR
Commute allowance,Do I get a commute or transport allowance,HR
Medical checkup,Does the company arrange annual medical checkups,HR
Mental health support,Does the company provide mental health support resources,HR
EAP program,What is the Employee Assistance Program and how do I access it,HR
Ergonomic equipment,Can I request ergonomic furniture for my home office,HR
HR portal password,How do I reset my HR portal login password,HR
Employee ID number,How do I get my employee ID number,HR
Org restructuring,How will the recent organizational restructuring affect my role,HR
Exit formalities,What are the exit formalities I need to complete before leaving,HR
Handover checklist,Is there a handover checklist for exiting employees,HR
PF nominee update,How do I update my PF nominee details,HR
Gratuity claim,How do I claim my gratuity after leaving the company,HR
Form 16,When will my Form 16 be available for this financial year,HR
Salary certificate,I need a salary certificate for a visa application,HR
Bank loan letter,I need an employment letter for a bank loan,HR
Home loan NOC,I need a no-objection certificate for a home loan,HR
ESOP vesting,When does my next ESOP batch vest,HR
Bonus structure,How is the performance bonus structure calculated,HR
Variable pay,What is the variable pay component in my compensation,HR
CTC breakup,Can I get the full breakup of my CTC,HR
Notice period buyout,Can the company buy out my notice period,HR
Moonlighting policy,What is the policy on moonlighting or side employment,HR
IPR policy,Who owns the intellectual property I create while employed,HR
Non-compete clause,Can you explain the non-compete clause in my contract,HR
Severance pay,Am I entitled to severance pay if laid off,HR
Layoff process,How does the company handle the layoff process,HR
Compensatory off,How do I apply for compensatory off,HR
Reporting hierarchy,How do I find my official reporting hierarchy,HR
Contract type,I want to know if I am on a permanent or contract basis,HR
HR data correction,My name is misspelled in the HR system and I need it corrected,HR
Date of birth correction,My date of birth is incorrect in the HR records,HR
Address update HR,I need to update my home address in the HR system,HR
Marital status update,I recently got married and need to update my marital status,HR
Dependent addition,How do I add a dependent to my medical insurance,HR
HR portal access issue,I cannot log in to the HR self-service portal,HR
Biometric registration,My biometric registration is pending at the office,HR
Smart card access,How do I apply for a smart card or access card,HR
RSU details,Can you provide details of my RSU grant,HR
Recall from leave,I was recalled from leave and need compensation,HR
Sabbatical leave,Does the company offer sabbatical leave,HR
Adoption leave,What is the adoption leave policy,HR
Long service award,How do I know if I am eligible for a long service award,HR
Career development,Does the company offer career development programs,HR
Mentorship program,Is there a mentorship program for junior employees,HR
Employee recognition,How do I nominate a colleague for an employee award,HR
Work permit,I need assistance with my work permit or visa documentation,HR
Conflict resolution,How do I resolve a conflict with my manager,HR
Pension scheme,What pension or retirement scheme does the company offer,HR
Wellness program,What wellness programs are available for employees,HR
Annual leave carry over,Can I carry forward unused annual leave to next year,HR
Performance improvement plan,I have been placed on a PIP and need guidance,HR
Delivery instructions,Can I add delivery instructions for my order,General
Contactless delivery,Is contactless delivery available,General
Delivery photo proof,Can I get a photo proof of delivery,General
Parcel locker delivery,Can my order be delivered to a parcel locker,General
Leave at door,Can you leave my package at the door if I am not home,General
Delivery rescheduling,Can I reschedule my delivery to a different date,General
Return pickup,How do I schedule a pickup for my return,General
Return label,How do I get a return shipping label,General
Return window,How many days do I have to return a product,General
Exchange process,What is the process to exchange a product,General
Authenticity guarantee,How do I know the product is genuine and not a counterfeit,General
Product dimensions,Where can I find the exact dimensions of this product,General
Material information,What material is this product made of,General
Allergen information,Does this product contain any allergens,General
Certifications,What certifications does this product have,General
Country of origin,Which country is this product manufactured in,General
Battery life,What is the expected battery life of this product,General
Charging time,How long does this device take to fully charge,General
Compatible accessories,What accessories are compatible with this product,General
Water resistance,Is this product water resistant or waterproof,General
Noise level,What is the noise level of this appliance,General
Energy rating,What is the energy efficiency rating of this product,General
Product lifespan,What is the expected lifespan of this product,General
Disposal instructions,How should I dispose of this product responsibly,General
Recycling program,Do you have a product recycling program,General
Setup guide,Is there a setup guide or quick start guide available,General
Video tutorial,Is there a video tutorial for setting up this product,General
Remote support,Can a technician remotely help me set up the product,General
On-site support,Do you provide on-site support for product installation,General
Service center,Where is the nearest authorized service center,General
Doorstep service,Do you offer doorstep repair service,General
Extended warranty,Can I purchase extended warranty coverage,General
Warranty claim,How do I make a warranty claim,General
Out of warranty repair,Can you repair the product even if it is out of warranty,General
Spare part cost,How much does a specific spare part cost,General
Repair time,How long will it take to repair my product,General
Loan device,Can I get a loan device while mine is being repaired,General
Repair status,What is the status of my repair order,General
Product discontinuation,Is this product being discontinued,General
Software update device,Is there a software or firmware update available for my device,General
Driver download,Where can I download the driver for this product,General
Compatibility check,Is this product compatible with my operating system,General
System requirements,What are the minimum system requirements for this product,General
Multi-device use,Can I use this product on multiple devices simultaneously,General
Data transfer,How do I transfer data from my old device to the new one,General
Factory reset,How do I factory reset this product,General
Account deactivation,How do I temporarily deactivate my account,General
Profile visibility,How do I make my profile private,General
Email preferences,How do I manage my email notification preferences,General
Push notification settings,How do I turn off push notifications from your app,General
Two-factor setup,How do I enable two-factor authentication on my account,General
Account sharing,Can I share my account with a family member,General
Sub-account,Can I create a sub-account under my main account,General
Admin access grant,How do I grant admin access to another team member,General
Usage report,Can I get a usage report for my account,General
Order history view,Where can I view my complete order history,General
Wishlist sharing,Can I share my wishlist with friends or family,General
Notification frequency,Can I reduce how often I receive notifications,General
Currency preference,How do I change the display currency on the website,General
Time zone setting,How do I update my time zone in the account settings,General
Dark mode enable,How do I enable dark mode on the website,General
High contrast mode,Is a high contrast mode available on your platform,General
Keyboard navigation,Can your website be fully navigated using a keyboard,General
Voice commands,Does your app support voice commands,General
Smart home integration,Is your product compatible with smart home systems like Alexa,General
Chatbot to human,I want to speak to a human agent instead of the chatbot,General
Escalation request,I want to escalate my complaint to a senior manager,General
Support response time,What is your average customer support response time,General
Support ticket status,What is the status of my previously raised support ticket,General
Case closed wrongly,My support case was closed but my issue is not resolved,General
Incorrect resolution,The resolution provided by your team did not fix my issue,General
Agent behavior report,I want to report inappropriate behavior by a support agent,General
Callback request,I want to request a callback from your support team,General
WhatsApp support,Do you offer support via WhatsApp,General
Toll free number,What is your toll-free customer support number,General
Priority support,Is priority support available for premium users,General
SLA query,What is your service level agreement for resolving tickets,General
Issue still pending,My issue has been pending for more than 7 days,General
Duplicate ticket,I accidentally raised the same ticket twice,General
Proof of purchase,I need proof of purchase for an insurance claim,General
Product safety concern,I have a safety concern about a product I purchased,General
Product condition,What does the product condition rating mean,General
Student discount,Is there a student discount available,General
Birthday offer,Do you send any special birthday offers or discounts,General
Subscription gift,Can I gift a subscription to someone else,General
Knowledge base,Where can I find your knowledge base or help articles,General
Service outage,Is there a current service outage or maintenance happening,General
Status page,Do you have a system status or uptime page,General
Reorder,How do I quickly reorder a previous purchase,General
Gift message,Can I add a gift message to my order,General
Saturday delivery,Do you offer Saturday or weekend delivery,General
COD option,Is cash on delivery available in my area,General
Dark theme crash,The application crashes when I switch to dark theme,Technical
Floating button,The floating action button is overlapping the content on the screen,Technical
Tab switching,Switching between tabs in the app causes the content to reload,Technical
Nearest store,How do I find the nearest store to my location,General
Order invoice download,How do I download the invoice for my order,General
Price drop alert,Can I set up an alert for when a product price drops,General
Newsletter resubscribe,I unsubscribed from the newsletter but want to subscribe again,General
Size exchange,I received the correct item but need a different size,General
Urgent payment failure,This is urgent my payment has failed and my order is about to be cancelled,Billing
Critical billing error,There is a critical error in my invoice and I need it fixed immediately,Billing
Unable to pay,I am unable to complete my payment and need help as soon as possible,Billing
Payment blocked urgent,My payment is blocked and I cannot proceed this is an emergency,Billing
Subscription failed,My subscription renewal has failed and my access is blocked,Billing
Refund not processed,My refund has failed to process and I need it resolved urgently,Billing
Account frozen critical,My account is frozen due to a billing issue and it is critical to fix now,Billing
Unable to download invoice,I am unable to download my invoice and I need it immediately for audit,Billing
Transaction failed urgent,My transaction failed and the amount is deducted this is urgent,Billing
Billing portal not working,The billing portal is not working and I cannot access my invoices,Billing
Login not working urgent,My login is not working and I need access immediately,Technical
Critical system failure,There is a critical system failure and the application is completely down,Technical
Unable to upload files,I am unable to upload files and this is blocking my entire workflow,Technical
App failed after update,The app has failed completely after the latest update this is an emergency,Technical
Database connection failed,The database connection has failed and all data is inaccessible urgently,Technical
API blocked,Our API integration is blocked and our service is affected as soon as possible fix needed,Technical
Two factor auth failed,Two factor authentication has failed and I am unable to log in,Technical
Payment gateway not working,The payment gateway is not working on our platform this is critical,Technical
Data sync failed urgent,Data synchronization has failed and we are losing records urgently,Technical
Server not working,The server is not working and all users are affected this needs immediate attention,Technical
Leave approval urgent,I need my leave approved immediately as it is an emergency situation,HR
Salary not credited,My salary has not been credited and it is urgent I need it resolved as soon as possible,HR
Payslip blocked,I am unable to access my payslip and need it immediately for a loan application,HR
Critical HR data error,There is a critical error in my HR records and my name is incorrect urgently,HR
Unable to submit timesheet,I am unable to submit my timesheet and it is blocking my salary processing,HR
Emergency leave request,I need to apply for emergency leave immediately due to a family crisis,HR
Offer letter not received,My offer letter has not been received and my joining date is tomorrow this is urgent,HR
HR portal failed,The HR portal has failed and I cannot access any of my documents this is critical,HR
PF transfer blocked,My PF transfer is blocked and I need it resolved as soon as possible,HR
Medical reimbursement urgent,My medical reimbursement claim has failed and I need it cleared immediately,HR
Order not delivered urgent,My order has not been delivered and it is urgent as it is a gift for today,General
Unable to track order,I am unable to track my order and the delivery is critical for tomorrow,General
Return failed,My return request has failed and I need it resolved immediately,General
Refund blocked,My refund is blocked and has not been processed this is urgent,General
Account not working,My account is not working and I am unable to place any orders this is critical,General
Emergency order cancel,I need to cancel my order immediately this is an emergency,General
Delivery failed,My delivery has failed twice and I need a resolution as soon as possible,General
Unable to contact support,I am unable to reach your support team and my issue is critical,General
Coupon not working urgent,The coupon I applied is not working and the offer expires today urgently,General
Product damaged urgent,I received a critically damaged product and need an immediate replacement,General
Duplicate charge urgent,I was charged twice and this is urgent please reverse the duplicate charge immediately,Billing
Card blocked payment,My card is blocked and I am unable to make any payment please help as soon as possible,Billing
Invoice critical error,The invoice has a critical error showing the wrong amount I need it corrected immediately,Billing
Refund failed again,My refund has failed for the second time and I need escalation urgently,Billing
Payment not going through,My payment is not working and I have tried multiple times this is an emergency,Billing
Subscription access blocked,My subscription is blocked and I am unable to access any features urgently,Billing
Billing account frozen,My billing account is frozen and I cannot make payments this is critical,Billing
Auto debit failed urgent,My auto debit has failed and my subscription will be cancelled as soon as possible fix needed,Billing
Chargeback blocked,My chargeback request is blocked and I am unable to proceed this is urgent,Billing
Tax invoice critical,I need the tax invoice immediately as my audit submission deadline is today,Billing
Wallet deducted failed,My wallet was deducted but the payment failed I need a refund urgently,Billing
Coupon failed checkout,The coupon failed to apply at checkout and I lost the discount please fix immediately,Billing
Payment reversed wrongly,My payment was reversed without my consent and it is urgent to reinstate it,Billing
Trial ended wrongly,My trial ended early without notice and access is blocked I need it restored immediately,Billing
Overpayment urgent,I accidentally overpaid and I need the excess refunded as soon as possible,Billing
Invoice not generated,My invoice was not generated after payment and I need it immediately for reimbursement,Billing
Subscription not renewed,My subscription failed to renew and service is blocked please resolve urgently,Billing
Wrong plan charged,I was charged for the wrong plan and need a refund as soon as possible,Billing
Credit not applied urgent,My account credit is not being applied and I am unable to pay the correct amount,Billing
Annual plan not activated,I paid for the annual plan but it failed to activate this is critical please fix now,Billing
GST invoice urgent,I need a GST invoice immediately for filing my taxes today,Billing
Billing freeze critical,My billing account is frozen critically and I cannot pay outstanding dues,Billing
Payment link failed,The payment link sent to me has failed and I am unable to complete payment,Billing
International card blocked,My international card is blocked on your platform and I need help urgently,Billing
Recurring payment failed,My recurring payment has failed and my account is at risk of suspension urgently,Billing
Refund mode blocked,My refund mode is blocked and I am unable to receive my money as soon as possible,Billing
Late fee urgent,I was charged a late fee unfairly and need it reversed immediately,Billing
Invoice resend urgent,I have not received my invoice and need it resent immediately for a client meeting,Billing
EMI payment failed,My EMI payment has failed and I am unable to continue my purchase plan urgently,Billing
Price locked failed,The locked price I was promised has failed to apply and I am being charged more urgently,Billing
Application not working,The application is not working at all and I need it restored immediately,Technical
Critical server down,The server is critically down and none of our users can access the platform,Technical
Login failed urgent,My login has failed repeatedly and I am unable to access my account this is an emergency,Technical
Data lost critical,All my data has been lost after an update this is critical I need it recovered immediately,Technical
Unable to reset password,I am unable to reset my password and I am completely locked out of my account,Technical
Integration failed urgent,My integration with your API has failed and our entire workflow is blocked urgently,Technical
App not opening,The app is not opening at all after the update I need a fix as soon as possible,Technical
Export function failed,The export function has failed and I am unable to get my data this is critical,Technical
Dashboard not loading,The dashboard is not loading and I am unable to view any of my data urgently,Technical
Email delivery failed,Automated emails from your system have failed and our customers are blocked urgently,Technical
Sync completely blocked,Data synchronization is completely blocked and records are not updating this is critical,Technical
File upload failed urgent,My file upload has failed multiple times and I am unable to submit my documents,Technical
Account access blocked,My account access is blocked after a security update I need it unlocked immediately,Technical
Webhook not working,The webhook is not working and our system is unable to receive any events urgently,Technical
Checkout not working,The checkout process is not working and customers are unable to complete purchases,Technical
Report generation failed,The report generation has failed and I am unable to get critical business data urgently,Technical
API authentication failed,API authentication has failed and our integration is completely blocked as soon as possible,Technical
Two factor blocked,Two factor authentication is blocking me and I am unable to log in this is an emergency,Technical
Mobile app crashed critical,The mobile app has critically crashed and users are unable to access the service,Technical
Notification system failed,The notification system has failed and users are not receiving any critical alerts,Technical
Database query failed,A critical database query has failed and the system is showing errors to all users,Technical
SSO login blocked,Single sign-on is blocked and our entire team is unable to log in this is urgent,Technical
Video call not working,The video call feature is not working and it is blocking our client meeting immediately,Technical
Background sync failed,Background data sync has failed and the app is showing outdated information urgently,Technical
Session blocked,My session is repeatedly blocked after a few minutes and I am unable to work,Technical
Print feature failed,The print feature has failed and I am unable to print critical documents immediately,Technical
Admin blocked,My admin access is blocked after a system update and I am unable to manage users urgently,Technical
Search not working critical,The search feature is critically not working and users are unable to find anything,Technical
Map feature blocked,The map feature is blocked and I am unable to use location services as soon as possible,Technical
Leave blocked urgent,My leave request is blocked in the system and I need it approved immediately,HR
Salary not paid critical,My salary has not been paid and this is a critical financial emergency,HR
Unable to access HR system,I am unable to access the HR system and cannot view any of my documents urgently,HR
Appraisal blocked,My appraisal process is blocked and I am unable to submit my self-review as soon as possible,HR
Emergency medical leave,I need emergency medical leave approved immediately as I am being hospitalized,HR
PF withdrawal failed,My PF withdrawal request has failed and I need the funds urgently for an emergency,HR
Health insurance blocked,My health insurance is blocked and I am unable to get treatment reimbursed urgently,HR
Resignation not accepted,My resignation is not being accepted in the system and I am unable to proceed critically,HR
Offer letter failed,My offer letter generation has failed and I am unable to join without it this is urgent,HR
Payslip not working,The payslip portal is not working and I am unable to download my salary slip urgently,HR
Attendance system failed,The attendance system has failed and my leaves are being marked incorrectly urgently,HR
Reimbursement blocked,My expense reimbursement is blocked in approval and I need it cleared immediately,HR
Unable to apply leave,I am unable to apply for leave in the system and my travel is tomorrow this is urgent,HR
Background check blocked,My background check is blocked and I am unable to start my new role urgently,HR
Contract renewal failed,My contract renewal has failed in the system and I need it resolved as soon as possible,HR
HR grievance blocked,My grievance submission is blocked and I am unable to report my issue this is critical,HR
Salary revision failed,My salary revision has failed to reflect in the system and I need it fixed immediately,HR
Increment not processed,My increment has not been processed and it is urgent as it was due last month,HR
Form 16 not generated,My Form 16 is not generated and I am unable to file my taxes this is an emergency,HR
Insurance claim failed,My insurance claim has failed and I need it resolved immediately for my hospital bill,HR
Training blocked,My mandatory training access is blocked and I need it completed urgently,HR
Job posting failed,My internal job posting has failed to publish and I need it live as soon as possible,HR
Employee ID blocked,My employee ID is blocked and I am unable to enter the office this is critical,HR
Salary account failed,My salary bank account update has failed and salary may go to the wrong account urgently,HR
Exit formalities blocked,My exit formalities are blocked in the system and I am unable to complete my last day,HR
Work permit urgent,My work permit is expiring and I need HR to process the renewal immediately,HR
Probation clearance failed,My probation clearance has failed to process and I am unable to get confirmed urgently,HR
Transfer blocked,My department transfer is blocked in the system and I need it resolved as soon as possible,HR
Medical certificate blocked,My medical certificate submission is blocked and I am unable to get leave approved urgently,HR
Bonus not credited urgent,My bonus has not been credited and it is urgent as it was promised for this month,HR
Order completely blocked,My order is completely blocked and I am unable to check out this is urgent,General
Delivery emergency,My delivery is an emergency gift and it has not arrived please resolve immediately,General
Return request failed,My return request has failed and I am unable to send the item back urgently,General
Unable to log in account,I am unable to log in to my account and cannot access my orders this is critical,General
Refund not working,My refund is not working and I have been waiting for over two weeks as soon as possible,General
Product not working urgent,The product I received is not working at all and I need a replacement immediately,General
Support not responding,Your support team is not responding and my issue is critical please escalate urgently,General
Order cancelled wrongly,My order was cancelled without my consent and I need it reinstated immediately,General
Subscription gift failed,The subscription gift I purchased has failed to activate for my friend urgently,General
Exchange blocked,My exchange request is blocked and I am unable to get a replacement urgently,General
Warranty claim failed,My warranty claim has failed and I am unable to get my product repaired urgently,General
Account blocked urgent,My account is blocked and I am unable to place any orders this is an emergency,General
Delivery address failed,The delivery address update has failed and my package may go to the wrong place urgently,General
COD order blocked,My cash on delivery order is blocked and I am unable to complete the purchase urgently,General
Pickup not scheduled,My return pickup has not been scheduled and I am unable to return the product urgently,General
Price error critical,There is a critical price error on your website and I was overcharged immediately fix needed,General
Product missing urgent,My product is missing from the delivered package and I need a resolution immediately,General
Cancellation failed,My order cancellation has failed and the payment is still being processed urgently,General
Loyalty points blocked,My loyalty points are blocked and I am unable to redeem them for my purchase urgently,General
Wishlist not working,My wishlist is not working and I am unable to save or share products urgently,General
Gift card not working,My gift card is not working at checkout and I am unable to complete my purchase,General
Newsletter opt out failed,My newsletter opt-out has failed and I am still receiving emails as soon as possible fix needed,General
Product review blocked,I am unable to submit my product review and my feedback is critical for the seller,General
Tracking not working,The order tracking is not working and I am unable to find my package this is urgent,General
Size exchange failed,My size exchange request has failed and I need the correct size immediately,General
Address not updating,My delivery address is not updating and the package may go to wrong location urgently,General
Promo code blocked,My promo code is blocked at checkout and I am unable to use it before it expires,General
Complaint not registered,My formal complaint failed to register and my issue is critical please resolve urgently,General
App purchase failed,My in-app purchase has failed but my card was charged I need a refund immediately,General
VIP support blocked,My VIP support access is blocked and I am unable to get priority help urgently,General
